"TL","Territory Level and Typology","REG_ID","Region","VAR","Variable","VINTAGE","Vintage","DWELLINGS","Dwellings","MEASURE","Measure","FREQ","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1992","1992","IDX","Index","0","Units","2015_100","2015=100",43.474,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1993","1993","IDX","Index","0","Units","2015_100","2015=100",44.344,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1994","1994","IDX","Index","0","Units","2015_100","2015=100",46.352,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1995","1995","IDX","Index","0","Units","2015_100","2015=100",48.302,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1996","1996","IDX","Index","0","Units","2015_100","2015=100",50.508,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1997","1997","IDX","Index","0","Units","2015_100","2015=100",51.897,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1998","1998","IDX","Index","0","Units","2015_100","2015=100",53.526,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1999","1999","IDX","Index","0","Units","2015_100","2015=100",55.385,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",56.342,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",59.162,,
