Year,FIPS_Code,State,Area_Name,Civilian_labor_force,Employed,Unemployed,Unemployment_rate
2003,0,US,United States,145660094.0,136944522.0,8715572.0,6.0
2003,1000,AL,Alabama,2128668.0,2001568.0,127100.0,6.0
2003,2000,AK,Alaska,332494.0,306964.0,25530.0,7.7
2003,4000,AZ,Arizona,2728649.0,2571097.0,157552.0,5.800000000000001
2003,5000,AR,Arkansas,1282578.0,1208583.0,73995.0,5.800000000000001
2003,6000,CA,California,17271899.0,16081515.0,1190384.0,6.9
2003,8000,CO,Colorado,2490397.0,2338432.0,151965.0,6.100000000000001
2003,9000,CT,Connecticut,1785737.0,1688380.0,97357.0,5.5
2003,10000,DE,Delaware,415890.0,397310.0,18580.0,4.5
2003,12000,FL,Florida,8123135.0,7760904.0,362231.0,4.5
2003,13000,GA,Georgia,4414282.0,4187003.0,227279.0,5.100000000000001
2003,15000,HI,Hawaii,603936.0,580352.0,23584.0,3.9
2003,16000,ID,Idaho,691702.0,653299.0,38403.0,5.600000000000001
2003,17000,IL,Illinois,6310520.0,5885134.0,425386.0,6.7
2003,18000,IN,Indiana,3178568.0,3011507.0,167061.0,5.300000000000001
2003,19000,IA,Iowa,1607931.0,1536505.0,71426.0,4.4
2003,20000,KS,Kansas,1441065.0,1361115.0,79950.0,5.5
2003,21000,KY,Kentucky,1965881.0,1844378.0,121503.0,6.2
2003,22000,LA,Louisiana,2024914.0,1897902.0,127012.0,6.300000000000001
2003,23000,ME,Maine,685165.0,649899.0,35266.0,5.100000000000001
2003,24000,MD,Maryland,2881024.0,2742966.0,138058.0,4.800000000000001
2003,25000,MA,Massachusetts,3418989.0,3223294.0,195695.0,5.7
2003,26000,MI,Michigan,5036119.0,4678901.0,357218.0,7.100000000000001
2003,27000,MN,Minnesota,2893369.0,2754850.0,138519.0,4.800000000000001
2003,28000,MS,Mississippi,1304578.0,1224551.0,80027.0,6.100000000000001
2003,29000,MO,Missouri,2983337.0,2814661.0,168676.0,5.7
